sender,sender_type,sender_id,timestamp,meta,,IC-ICresponse,age,duration,ended_on,image,participantID,response,response_action,sex,time_commit,time_end,time_render,time_run,time_show,time_switch,url
informedConsent,html.Page,0_0_0_0,2020-06-16T03:26:46.261Z,"{""labjs_version"":""20.0.1"",""labjs_build"":{""flavor"":""production"",""commit"":""2b713552c16bc7aa9c6da31a44bae8ef1cdc6804""},""location"":""file:///Users/masanorikobayashi/Dropbox/exp/labjs/demoData/rating-task-demo-export-1/index.html"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"",""platform"":""MacIntel"",""language"":""ja"",""locale"":""ja"",""timeZone"":""Asia/Tokyo"",""timezoneOffset"":-540,""screen_width"":2880,""screen_height"":1620,""scroll_width"":1440,""scroll_height"":1462,""window_innerWidth"":1440,""window_innerHeight"":1486,""devicePixelRatio"":2}",,TRUE,,2302.994,form submission,,4809,,,,2777,2776.66,456.998,447.955,473.666,2790.518,{}
demographic,html.Page,0_0_0_1,2020-06-16T03:26:51.795Z,,,,18,5520.237,form submission,,4809,,,íj,8311.13,8310.755,2773.85,2777.23,2790.518,8324.294,
briefing,flow.Sequence,0_0_0,2020-06-16T03:26:51.796Z,,,,,7837.089,completion,,4809,,,,8312.355,8310.755,456.998,447.915,473.666,8324.294,
rating,html.Page,0_0_1_0_0,2020-06-16T03:26:52.773Z,,,,,962.596,response,4.jpg,4809,3,click button#btn3,,9289.63,9286.89,8307.626,8312.52,8324.294,9293.629,
blank,html.Page,0_0_1_0_1,2020-06-16T03:26:53.262Z,,,,,500.04,timeout,4.jpg,4809,,,,9778.66,9777.001,9276.961,9289.77,9293.629,9793.669,
rating trial,flow.Sequence,0_0_1_0,2020-06-16T03:26:53.262Z,,,,,1452.707,completion,4.jpg,4809,,,,9778.79,9777.001,8307.626,8312.495,8324.294,9793.669,
rating,html.Page,0_0_1_1_0,2020-06-16T03:26:54.101Z,,,,,820.606,response,3.jpg,4809,4,click button#btn4,,10616.965,10614.275,9777.001,9778.87,9793.669,10627.069,
blank,html.Page,0_0_1_1_1,2020-06-16T03:26:54.596Z,,,,,500.04,timeout,3.jpg,4809,,,,11112.135,11110.441,10610.401,10617.075,10627.069,11127.109,
rating trial,flow.Sequence,0_0_1_1,2020-06-16T03:26:54.596Z,,,,,1316.772,completion,3.jpg,4809,,,,11112.38,11110.441,9777.001,9778.85,9793.669,11127.109,
rating,html.Page,0_0_1_2_0,2020-06-16T03:26:55.293Z,,,,,679.676,response,2.jpg,4809,5,click button#btn5,,11809.075,11806.785,11110.441,11112.49,11127.109,11827.165,
blank,html.Page,0_0_1_2_1,2020-06-16T03:26:55.797Z,,,,,500.04,timeout,2.jpg,4809,,,,12313.135,12310.537,11793.829,11809.15,11827.165,12327.205,
rating trial,flow.Sequence,0_0_1_2,2020-06-16T03:26:55.797Z,,,,,1183.428,completion,2.jpg,4809,,,,12313.365,12310.537,11110.441,11112.475,11127.109,12327.205,
rating,html.Page,0_0_1_3_0,2020-06-16T03:26:56.339Z,,,,,525.835,response,1.jpg,4809,4,click button#btn4,,12855.43,12853.04,12310.537,12313.495,12327.205,12860.581,
blank,html.Page,0_0_1_3_1,2020-06-16T03:26:56.828Z,,,,,500.04,timeout,1.jpg,4809,,,,13344.595,13343.953,12843.913,12855.51,12860.581,13360.621,
rating trial,flow.Sequence,0_0_1_3,2020-06-16T03:26:56.828Z,,,,,1016.748,completion,1.jpg,4809,,,,13344.72,13343.953,12310.537,12313.475,12327.205,13360.621,
rating phase,flow.Loop,0_0_1,2020-06-16T03:26:56.829Z,,,,,5019.659,completion,,4809,,,,13344.86,13343.953,8307.626,8312.455,8324.294,13360.621,
Main Sequence,flow.Sequence,0_0,2020-06-16T03:26:56.829Z,,,,,12870.287,completion,,4809,,,,13344.955,13343.953,456.998,447.895,473.666,13360.621,
Main Loop,flow.Loop,0,2020-06-16T03:26:56.829Z,,,,,12870.287,completion,,,,,,13345.03,13343.953,456.998,447.87,473.666,13360.621,
root,flow.Sequence,,2020-06-16T03:26:56.829Z,,,,,12870.287,completion,,,,,,13345.405,13343.953,456.998,447.56,473.666,13360.621,
sender,sender_type,sender_id,timestamp,meta,,IC-ICresponse,age,duration,ended_on,image,participantID,response,response_action,sex,time_commit,time_end,time_render,time_run,time_show,time_switch,url
informedConsent,html.Page,0_0_0_0,2020-06-16T03:27:18.908Z,"{""labjs_version"":""20.0.1"",""labjs_build"":{""flavor"":""production"",""commit"":""2b713552c16bc7aa9c6da31a44bae8ef1cdc6804""},""location"":""file:///Users/masanorikobayashi/Dropbox/exp/labjs/demoData/rating-task-demo-export-1/index.html"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"",""platform"":""MacIntel"",""language"":""ja"",""locale"":""ja"",""timeZone"":""Asia/Tokyo"",""timezoneOffset"":-540,""screen_width"":2880,""screen_height"":1620,""scroll_width"":1440,""scroll_height"":1413,""window_innerWidth"":1440,""window_innerHeight"":1437,""devicePixelRatio"":2}",,TRUE,,3105.735,form submission,,3483,,,,3217.3,3217.11,78.039,86.91999997,111.375,3228.291,{}
demographic,html.Page,0_0_0_1,2020-06-16T03:27:25.421Z,,,,18,6502.509,form submission,,3483,,,èó,9731,9730.8,3211.623,3217.475,3228.291,9747.71,
briefing,flow.Sequence,0_0_0,2020-06-16T03:27:25.422Z,,,,,9619.425,completion,,3483,,,,9731.225,9730.8,78.039,86.89499996,111.375,9747.71,
rating,html.Page,0_0_1_0_0,2020-06-16T03:27:26.996Z,,,,,1555.485,response,2.jpg,3483,5,click button#btn5,,11305.41,11303.195,9731.042,9731.39,9747.71,11314.502,
blank,html.Page,0_0_1_0_1,2020-06-16T03:27:27.489Z,,,,,500.04,timeout,2.jpg,3483,,,,11798.625,11797.874,11297.834,11305.655,11314.502,11814.542,
rating trial,flow.Sequence,0_0_1_0,2020-06-16T03:27:27.489Z,,,,,2050.164,completion,2.jpg,3483,,,,11798.76,11797.874,9731.042,9731.365,9747.71,11814.542,
